City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
6,Rikitea,PF,72.93,clear sky,-23.1203,-134.9692,People ThankYou
7,Namie,JP,76.71,overcast clouds,37.4833,141.0,いこいの村なみえ
22,Atuona,PF,77.72,few clouds,-9.8,-139.0333,Villa Enata
31,Foundiougne,SN,77.77,broken clouds,14.1333,-16.4667,Cap Marniane
43,Monrovia,LR,76.91,moderate rain,6.3005,-10.7969,Sunset Inn
45,Chumphon,TH,73.51,overcast clouds,10.3333,98.8333,สกาน จ๋า.
54,Lancaster,US,73.65,clear sky,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
56,Uhlove,UA,71.56,overcast clouds,44.8215,33.6045,Tavryda
65,Baffa,PK,78.85,overcast clouds,34.4378,73.2194,Kisan veternary store Baffa
72,Jiangyou,CN,74.16,light rain,31.7667,104.7167,Shangping Shuyuan Inn
74,Sao Cristovao,BR,76.91,broken clouds,-11.0147,-37.2064,Vó Nazinha Hostel
75,Myitkyina,MM,76.19,moderate rain,25.3833,97.4,Shwe Phyu Hotel
76,Puerto Narino,CO,78.75,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
89,Mandalgovi,MN,77.02,scattered clouds,45.7625,106.2708,В.Ганбат
90,Yarmouth,US,76.44,mist,41.7057,-70.2286,Blue Rock Resort
92,Buala,SB,77.7,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
97,Jamestown,US,72.99,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
99,Cabinda,AO,72.95,scattered clouds,-5.55,12.2,Hotel Maiombe
109,Fomboni,KM,76.64,clear sky,-12.28,43.7425,Auberge les abou
110,Solnechnyy,RU,73.36,scattered clouds,50.7214,136.6319,Hotel complex Pastoral
111,Kitimat,CA,75.58,clear sky,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
112,Alofi,NU,71.49,heavy intensity drizzle,-19.0595,-169.9187,Taloa Heights
114,Quatre Cocos,MU,71.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
115,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
118,Heihe,CN,72.18,clear sky,50.2441,127.4902,Hotel Strannik
121,Sokoni,TZ,75.52,clear sky,-6.4333,39.55,Ujamaa Beach Resort
122,Inirida,CO,73.31,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
125,Maragogi,BR,73.69,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
129,Srednekolymsk,RU,73.83,overcast clouds,67.45,153.6833,
133,Guerrero Negro,MX,78.37,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
134,Jega,NG,75.85,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
137,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
143,Gizo,SB,77.23,moderate rain,-8.103,156.8419,Imagination Island
148,Iquitos,PE,73.44,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
153,Zanzibar,TZ,70.88,clear sky,-6.1639,39.1979,Tembo House Hotel
159,Natal,BR,74.05,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
169,Vostok,RU,71.67,few clouds,46.4856,135.8833,
170,Alghero,IT,77.09,few clouds,40.5589,8.3181,Villa Las Tronas Hotel & Spa
175,Sinnamary,GF,77.2,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
176,Koulikoro,ML,71.19,overcast clouds,14.0,-7.75,
182,Ouesso,CG,71.2,overcast clouds,1.6136,16.0517,ABENIE Hotel
185,Lompoc,US,78.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
187,Cayenne,GF,77.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
190,Weyburn,CA,70.18,clear sky,49.6668,-103.8511,Perfect Inns & Suites
192,Mahebourg,MU,71.89,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
198,Meulaboh,ID,78.71,light rain,4.1363,96.1285,Kost Pria
199,Vila Franca Do Campo,PT,72.01,clear sky,37.7167,-25.4333,Pestana Bahia Praia
204,Ponta Do Sol,PT,74.03,few clouds,32.6667,-17.1,Hotel do Campo
205,Port-Gentil,GA,76.37,overcast clouds,-0.7193,8.7815,Fengshui Residence
213,Samarai,PG,79.14,broken clouds,-10.6167,150.6667,Nuli Sapi
214,Champoton,MX,73.42,overcast clouds,19.35,-90.7167,HOTEL Posada La Regia
216,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
219,Omboue,GA,74.26,overcast clouds,-1.5746,9.2618,Hotel Olako
221,Yerbogachen,RU,73.6,clear sky,61.2767,108.0108,
234,Airai,TL,74.5,scattered clouds,-8.9266,125.4092,Juvinal Martin
245,Mozarlandia,BR,75.72,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
248,Karratha,AU,73.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
250,Ribeira Grande,PT,72.84,broken clouds,38.5167,-28.7,Quinta da Meia Eira
255,Kaya,BF,73.26,overcast clouds,13.0917,-1.0844,Maison de l'appelé
257,Fergus Falls,US,72.86,scattered clouds,46.283,-96.0776,AmericInn by Wyndham Fergus Falls Conference Center
261,Jacqueville,CI,76.91,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
264,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
271,Banepa,NP,73.72,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
273,Isangel,VU,77.11,haze,-19.55,169.2667,Tanna Lodge
278,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
281,Bokoro,TD,73.85,light rain,12.3807,17.0568,
287,Linguere,SN,77.59,few clouds,15.3953,-15.1193,AYO Casablanca
290,Prince George,CA,77.25,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
308,Touros,BR,74.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
309,Carbonia,IT,79.99,clear sky,39.1672,8.5222,Lu 'Hotel
313,Kutum,SD,71.58,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
322,Salamiyah,SY,75.06,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
324,Marawi,PH,76.64,few clouds,7.9986,124.2928,Derogongan Residence
325,Lodwar,KE,78.1,broken clouds,3.1191,35.5973,Solmar Gracious Hotel
328,Abaetetuba,BR,75.24,light rain,-1.7181,-48.8825,Hotel Joanayna
332,Ouargaye,BF,72.43,overcast clouds,11.5033,0.0572,Résidence le Cotonnier
334,Goure,NE,76.01,overcast clouds,13.9835,10.2704,
335,Hobyo,SO,75.9,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
340,Lagos,NG,75.52,light rain,6.5833,3.75,
346,Janauba,BR,72.46,clear sky,-15.8025,-43.3089,Ouro Norte Palace Hotel
348,Puerto Plata,DO,75.04,scattered clouds,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
352,Luanda,AO,71.6,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
354,Poum,NC,72.1,scattered clouds,-20.2333,164.0167,Gîte kajeon
355,Yuza,JP,75.25,broken clouds,39.0,139.9167,鶴屋旅館
358,Boguchany,RU,73.09,overcast clouds,58.3814,97.4531,Uyut
362,Teya,RU,73.4,overcast clouds,60.3778,92.6267,
364,Koraput,IN,76.8,overcast clouds,18.8167,82.7167,Raj Residency
370,Oranzherei,RU,76.96,overcast clouds,45.8476,47.5663,Usad'ba V Khmelevom
373,Oros,BR,79.97,broken clouds,-6.2444,-38.9136,Pousada Orós
374,Chitral,PK,78.31,clear sky,35.8462,71.7858,PTDC Motel Chitral
376,Harper,LR,77.27,overcast clouds,4.375,-7.7169,Screensaver
382,Impfondo,CG,70.79,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
383,Novobessergenevka,RU,75.58,scattered clouds,47.1847,38.8462,Life inn
385,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
392,Marzuq,YE,74.48,overcast clouds,14.4,46.4667,
395,Kawalu,ID,78.31,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
396,Faanui,PF,78.75,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
399,Tarnos,FR,70.11,overcast clouds,43.5417,-1.4628,"The Originals City, Hôtel Le Lodge, Bayonne Nord (Inter-Hotel)"
401,Tura,IN,75.18,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
403,Lagoa,PT,72.12,scattered clouds,39.05,-27.9833,Casa Das Faias
407,Pauini,BR,77.49,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
408,Auki,SB,77.97,overcast clouds,-8.7676,160.7034,Auki Motel
409,Zalari,RU,73.9,clear sky,53.5584,102.5065,"""Belyye Rosy"""
410,Batagay-Alyta,RU,72.72,broken clouds,67.8006,130.4114,
417,Pervomayskaya,RU,75.0,clear sky,43.4033,45.5261,Sotyy
420,Ciro Marina,IT,76.86,clear sky,39.3732,17.126,Hotel Miramare
423,Bismarck,US,79.88,few clouds,46.8083,-100.7837,Ramkota Hotel & Conference Center
424,Magdagachi,RU,73.08,few clouds,53.45,125.8,Motopolyana Magdagachi
426,Avera,US,79.72,broken clouds,33.194,-82.5271,
430,Nisia Floresta,BR,74.21,clear sky,-6.0911,-35.2086,Rancho Crepusculo
431,Along,IN,77.22,overcast clouds,28.1667,94.7667,Hotel West
433,Bandarbeyla,SO,75.7,scattered clouds,9.4942,50.8122,JABIR HOTEL
435,Azare,NG,73.38,light rain,11.6765,10.1948,Muk hostel
436,Abu Samrah,SY,77.52,clear sky,35.3029,37.1841,
438,Conakry,GN,76.23,moderate rain,9.538,-13.6773,Riviera Royal Hotel
442,Touho,NC,70.11,overcast clouds,-20.7833,165.2333,Auberge Timay Evasion
444,San Quintin,MX,73.58,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
445,Wattegama,LK,79.72,overcast clouds,6.7989,81.4808,
446,Port Hardy,CA,71.78,few clouds,50.6996,-127.4199,Airport Inn
450,Ranao,PH,78.98,overcast clouds,16.2076,119.8155,Crispina Mountain Resort
451,Grand Gaube,MU,72.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
458,Lagunas,PE,71.35,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
459,Dharur,IN,77.02,broken clouds,18.8167,76.1167,Hotel Rajmahal
463,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
465,Sungaipenuh,ID,76.48,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
466,Lakota,CI,70.25,overcast clouds,5.8528,-5.6883,Aziz bah divers
468,Cabedelo,BR,74.07,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
470,Luganville,VU,76.53,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
475,Kpandae,GH,73.0,light rain,8.4689,-0.0113,S. Amaski Guest House
484,Kanakapura,IN,76.24,overcast clouds,12.55,77.4167,Yogi Home Stay
485,Mayo,US,78.94,mist,38.8876,-76.5119,Resorts Resource Group International
486,Hohhot,CN,75.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
491,Neiafu,TO,70.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
498,Riohacha,CO,79.74,scattered clouds,11.5444,-72.9072,Hotel Taroa
503,Vyara,IN,79.59,overcast clouds,21.1167,73.4,OYO 68448 Crystal Guest House
504,Trairi,BR,79.11,clear sky,-3.2778,-39.2689,janelas do mar
510,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
517,Nara,JP,76.37,light rain,34.6851,135.8049,Guesthouse Nara Komachi
518,Obidos,BR,77.07,few clouds,-1.9175,-55.5181,Hotel Amazônia Center
519,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
521,Suntar,RU,77.9,clear sky,62.1444,117.6319,Дом у Мамы
532,Chuchkovo,RU,73.31,light rain,54.2693,41.4465,
534,Cedral,MX,70.41,overcast clouds,23.8,-100.7333,Hotel Rocio
536,Tetouan,MA,72.39,mist,35.5711,-5.3724,Athens Hôtel
537,Cap Malheureux,MU,72.09,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
538,Candido Mendes,BR,74.59,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
540,Nikki,BJ,70.81,overcast clouds,9.9401,3.2108,Hotel John
541,Moree,AU,71.62,scattered clouds,-29.4667,149.85,Molika Springs Motel
542,Rassvet,RU,70.75,light rain,46.8333,40.75,Gostinitsa
545,Alta Floresta,BR,73.49,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
546,Praia Da Vitoria,PT,72.75,few clouds,38.7333,-27.0667,Hotel Branco I
548,Coahuayana,MX,78.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
551,Muisne,EC,74.37,overcast clouds,0.6,-80.0333,Quinta Samay
552,Chittaurgarh,IN,78.89,few clouds,24.8833,74.6333,Hotel Radhey Heritage
557,Libreville,GA,77.02,scattered clouds,0.3925,9.4537,Hotel Re-Ndama
559,Uarini,BR,78.64,overcast clouds,-2.99,-65.1083,
560,Mana,GF,76.66,overcast clouds,5.6592,-53.7767,LE SAMANA
564,Portel,BR,73.98,heavy intensity rain,-1.9356,-50.8211,Kitnet do Marcos
567,Garissa,KE,72.3,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
571,Malakal,SS,70.21,overcast clouds,9.5334,31.6605,Nile Palace Hotel
578,Bayeux,BR,74.03,overcast clouds,-7.125,-34.9322,Infinity Motel
581,Grand Baie,MU,72.07,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
585,Tubuala,PA,77.88,overcast clouds,9.5167,-79.0333,Río Nabagana
588,Algiers,DZ,73.22,clear sky,36.7525,3.042,Sofitel Algiers Hamma Garden
601,Bolobo,CD,72.72,broken clouds,-2.1667,16.2333,Hotel de Stephen
607,Zyryanka,RU,78.85,overcast clouds,65.75,150.85,
610,Linden,GY,75.34,light rain,6.0,-58.3,Crimson Bat Hotel
611,Bubaque,GW,79.84,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
613,Chernyy Yar,RU,78.75,overcast clouds,48.0624,46.1091,Stanitsa Chernoyarskaya
615,Aipe,CO,76.21,scattered clouds,3.2222,-75.2367,Dunas Tatacoa
623,Lobito,AO,71.11,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
626,Darhan,MN,72.12,clear sky,49.4867,105.9228,Buudai Hotel
627,Chumikan,RU,73.99,clear sky,54.7183,135.315,Fortuna
639,Sola,VU,78.13,broken clouds,-13.8833,167.55,Leumerus Bungalows
648,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
655,Sao Filipe,CV,74.82,broken clouds,14.8961,-24.4956,Hotel Xaguate
657,Sadat,IN,77.09,heavy intensity rain,25.6833,83.2833,Tuntun Niwas
668,Fonte Boa,BR,74.84,scattered clouds,-2.4959,-66.2662,
669,Porto-Vecchio,FR,71.06,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
671,Galle,LK,79.52,overcast clouds,6.0367,80.217,Amangalla
672,Collingwood,CA,77.02,scattered clouds,44.4834,-80.2164,Comfort Inn & Suites
674,Jurado,CO,76.89,light rain,7.1053,-77.7641,
678,Saint Anthony,US,76.62,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
679,Guayaramerin,BO,75.38,overcast clouds,-10.8368,-65.3614,Hostal Funf
680,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
682,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
683,Mweka,CD,72.68,broken clouds,-4.85,21.5667,Guest House Boshab
685,Yaan,NG,70.88,overcast clouds,7.3833,8.5667,
686,Hervey Bay,AU,75.31,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
689,Shingu,JP,79.92,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
690,Ballina,AU,75.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
692,Mogadishu,SO,75.4,broken clouds,2.0371,45.3438,Hotel Juba
693,Sao Gabriel Da Cachoeira,BR,71.01,heavy intensity rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
696,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
