City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nacajuca,MX,18.1333,-93.0167,82.45,78,49,4.61,scattered clouds
1,Bluff,NZ,-46.6,168.3333,59.81,75,100,18.59,overcast clouds
2,Castro,BR,-24.7911,-50.0119,51.46,97,100,7.76,overcast clouds
3,Tasiilaq,GL,65.6145,-37.6368,48.36,85,18,7.83,few clouds
4,Aquiraz,BR,-3.9014,-38.3911,80.69,87,4,14.36,clear sky
5,Souillac,MU,-20.5167,57.5167,71.98,83,75,9.22,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,72.93,69,3,8.99,clear sky
7,Namie,JP,37.4833,141.0,76.71,89,100,2.04,overcast clouds
8,Kapaa,US,22.0752,-159.319,84.52,69,20,3.0,light rain
9,Oranjemund,NA,-28.55,16.4333,55.49,73,100,7.56,overcast clouds
10,Marystown,CA,47.1666,-55.1483,62.83,94,100,3.58,overcast clouds
11,Disna,BY,55.568,28.1971,55.92,97,96,5.41,overcast clouds
12,Ahipara,NZ,-35.1667,173.1667,57.52,62,9,7.63,clear sky
13,Chokurdakh,RU,70.6333,147.9167,62.74,73,100,6.53,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,41.09,92,100,20.6,light rain
15,Deputatskiy,RU,69.3,139.9,63.59,63,100,1.52,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,48.27,72,1,6.38,clear sky
17,Caravelas,BR,-17.7125,-39.2481,68.68,93,6,4.07,clear sky
18,Pevek,RU,69.7008,170.3133,40.32,71,65,5.03,broken clouds
19,Mataura,NZ,-46.1927,168.8643,59.49,78,100,6.6,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,51.12,93,75,3.0,light rain
21,Busselton,AU,-33.65,115.3333,59.04,70,86,5.55,overcast clouds
22,Atuona,PF,-9.8,-139.0333,77.72,68,24,16.75,few clouds
23,Pangnirtung,CA,66.1451,-65.7125,46.56,75,100,9.35,overcast clouds
24,Kirakira,SB,-10.4544,161.9205,80.76,82,82,14.97,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,57.49,62,0,18.41,clear sky
26,Thompson,CA,55.7435,-97.8558,46.56,93,90,18.41,overcast clouds
27,Port Alfred,ZA,-33.5906,26.891,55.89,82,58,14.7,broken clouds
28,Ushuaia,AR,-54.8,-68.3,42.46,81,40,27.63,scattered clouds
29,Victoria,HK,22.2855,114.1577,90.97,78,98,6.02,overcast clouds
30,Taoudenni,ML,22.6783,-3.9836,100.51,15,58,10.6,broken clouds
31,Foundiougne,SN,14.1333,-16.4667,77.77,78,63,8.99,broken clouds
32,Simao,CN,22.7886,100.9748,67.62,98,100,1.77,overcast clouds
33,Necochea,AR,-38.5473,-58.7368,43.03,79,5,0.09,clear sky
34,Qaanaaq,GL,77.484,-69.3632,40.46,93,100,0.4,overcast clouds
35,Nanortalik,GL,60.1432,-45.2371,45.09,83,46,9.4,scattered clouds
36,Zhigansk,RU,66.7697,123.3711,66.33,48,50,4.59,scattered clouds
37,Kaseda,JP,31.4167,130.3167,81.63,89,100,16.42,overcast clouds
38,Vestmannaeyjar,IS,63.4427,-20.2734,54.25,85,99,10.29,overcast clouds
39,College,US,64.8569,-147.8028,67.98,56,75,3.44,broken clouds
40,Akyab,MM,20.15,92.9,83.44,81,99,8.68,moderate rain
41,Ambilobe,MG,-13.2,49.05,68.52,75,48,3.15,scattered clouds
42,Laguna,US,38.421,-121.4238,99.64,28,1,5.99,clear sky
43,Monrovia,LR,6.3005,-10.7969,76.91,87,100,13.24,moderate rain
44,Baldone,LV,56.7428,24.3944,60.55,99,100,4.03,overcast clouds
45,Chumphon,TH,10.3333,98.8333,73.51,70,99,7.74,overcast clouds
46,Lazaro Cardenas,MX,17.9583,-102.2,80.24,79,11,2.08,few clouds
47,Punta Arenas,CL,-53.15,-70.9167,44.71,87,75,4.61,light rain
48,Sioux Lookout,CA,50.1001,-91.917,61.18,77,75,9.22,broken clouds
49,Tateyama,JP,34.9833,139.8667,82.33,88,100,16.04,overcast clouds
50,Portland,US,45.5234,-122.6762,101.39,34,20,1.01,few clouds
51,Yellowknife,CA,62.456,-114.3525,59.52,47,75,9.22,broken clouds
52,West Bay,KY,19.3667,-81.4167,84.27,81,20,1.99,few clouds
53,Goleniow,PL,53.5639,14.8285,59.49,100,0,3.44,fog
54,Lancaster,US,40.2504,-76.2499,73.65,97,1,1.01,clear sky
55,Arman,RU,59.7,150.1667,65.46,75,17,7.23,few clouds
56,Uhlove,UA,44.8215,33.6045,71.56,77,100,7.94,overcast clouds
57,Albany,US,42.6001,-73.9662,81.25,86,100,4.18,overcast clouds
58,Chulumani,BO,-16.4096,-67.5263,60.46,96,100,1.74,overcast clouds
59,Carnarvon,AU,-24.8667,113.6333,64.47,32,0,14.97,clear sky
60,Katsuura,JP,35.1333,140.3,82.42,79,100,13.51,overcast clouds
61,Hithadhoo,MV,-0.6,73.0833,82.15,73,99,13.58,overcast clouds
62,Lulea,SE,65.5842,22.1547,54.73,82,57,5.86,broken clouds
63,Nalut,LY,30.3333,10.85,85.23,15,0,10.31,clear sky
64,Kununurra,AU,-15.7667,128.7333,89.58,22,96,9.22,overcast clouds
65,Baffa,PK,34.4378,73.2194,78.85,72,86,0.65,overcast clouds
66,Kaniv,UA,49.7518,31.46,62.22,74,0,9.6,clear sky
67,San Andres,CO,12.5847,-81.7006,82.42,83,75,10.36,broken clouds
68,New Norfolk,AU,-42.7826,147.0587,54.91,59,43,7.0,scattered clouds
69,Vaini,TO,-21.2,-175.2,66.36,100,90,3.44,light rain
70,Shihezi,CN,44.3,86.0333,87.94,22,0,4.09,clear sky
71,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,94,5.99,overcast clouds
72,Jiangyou,CN,31.7667,104.7167,74.16,82,100,1.66,light rain
73,Esperance,AU,-33.8667,121.9,58.84,63,22,12.95,few clouds
74,Sao Cristovao,BR,-11.0147,-37.2064,76.91,73,75,6.91,broken clouds
75,Myitkyina,MM,25.3833,97.4,76.19,100,100,1.57,moderate rain
76,Puerto Narino,CO,-3.7703,-70.3831,78.75,83,43,3.09,scattered clouds
77,Orcopampa,PE,-15.2661,-72.3417,44.64,50,33,3.2,scattered clouds
78,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,39,11.32,scattered clouds
79,Namibe,AO,-15.1961,12.1522,61.43,90,9,11.01,clear sky
80,Selje,NO,62.0459,5.351,61.18,89,100,6.29,overcast clouds
81,Balclutha,NZ,-46.2339,169.75,55.18,61,100,8.55,overcast clouds
82,Longyearbyen,SJ,78.2186,15.6401,46.24,93,90,6.91,overcast clouds
83,Nakhon Phanom,TH,17.3333,104.4167,82.2,80,100,6.11,overcast clouds
84,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,42.48,83,5,3.13,clear sky
85,Matao,BR,-21.6033,-48.3658,61.05,77,13,9.4,few clouds
86,Cherskiy,RU,68.75,161.3,68.34,33,77,5.95,broken clouds
87,Hobart,AU,-42.8794,147.3294,55.26,56,40,4.0,scattered clouds
88,Chuy,UY,-33.6971,-53.4616,42.62,83,5,3.2,clear sky
89,Mandalgovi,MN,45.7625,106.2708,77.02,23,43,6.17,scattered clouds
90,Yarmouth,US,41.7057,-70.2286,76.44,95,90,8.01,mist
91,Kaitangata,NZ,-46.2817,169.8464,55.67,61,100,12.19,overcast clouds
92,Buala,SB,-8.145,159.5921,77.7,90,100,7.67,moderate rain
93,Shebunino,RU,46.4339,141.8603,66.22,58,5,7.67,clear sky
94,Itoman,JP,26.1247,127.6694,86.38,81,75,25.32,broken clouds
95,Barrow,US,71.2906,-156.7887,37.42,87,90,17.27,light rain
96,Arraial Do Cabo,BR,-22.9661,-42.0278,69.15,89,28,19.19,scattered clouds
97,Jamestown,US,42.097,-79.2353,72.99,84,20,5.99,few clouds
98,Mbengwi,CM,6.0167,10.0,63.0,99,100,3.85,moderate rain
99,Cabinda,AO,-5.55,12.2,72.95,88,48,5.64,scattered clouds
100,Bredasdorp,ZA,-34.5322,20.0403,49.32,81,100,6.91,light rain
101,East London,ZA,-33.0153,27.9116,58.82,73,9,16.73,clear sky
102,Kalevala,RU,65.2,31.1667,58.66,77,97,2.15,overcast clouds
103,Correntina,BR,-13.3433,-44.6367,69.17,41,7,2.51,clear sky
104,Hermanus,ZA,-34.4187,19.2345,48.9,83,100,10.71,moderate rain
105,Narsaq,GL,60.9167,-46.05,50.22,75,85,1.88,overcast clouds
106,Dunmore Town,BS,25.5,-76.65,83.46,75,3,18.9,clear sky
107,Dikson,RU,73.5069,80.5464,42.67,87,23,9.89,few clouds
108,Abbeville,FR,50.1,1.8333,59.27,78,100,1.23,overcast clouds
109,Fomboni,KM,-12.28,43.7425,76.64,71,10,14.63,clear sky
110,Solnechnyy,RU,50.7214,136.6319,73.36,43,41,4.74,scattered clouds
111,Kitimat,CA,54.0524,-128.6534,75.58,56,1,2.89,clear sky
112,Alofi,NU,-19.0595,-169.9187,71.49,94,75,18.41,heavy intensity drizzle
113,Cabo San Lucas,MX,22.8909,-109.9124,84.51,81,40,3.44,scattered clouds
114,Quatre Cocos,MU,-20.2078,57.7625,71.71,85,34,11.52,light rain
115,Avarua,CK,-21.2078,-159.775,73.45,88,90,8.05,overcast clouds
116,Provideniya,RU,64.3833,-173.3,41.11,81,90,6.71,light intensity drizzle
117,Tuktoyaktuk,CA,69.4541,-133.0374,62.6,63,75,11.5,broken clouds
118,Heihe,CN,50.2441,127.4902,72.18,64,0,5.06,clear sky
119,Saint-Augustin,CA,51.226,-58.6502,56.59,72,100,12.15,overcast clouds
120,Sistranda,NO,63.7256,8.834,57.16,88,71,4.47,broken clouds
121,Sokoni,TZ,-6.4333,39.55,75.52,72,5,13.73,clear sky
122,Inirida,CO,3.8653,-67.9239,73.31,99,100,3.87,overcast clouds
123,Clyde River,CA,70.4692,-68.5914,50.23,66,90,16.11,light rain
124,Sorong,ID,-0.8833,131.25,83.01,73,83,0.78,broken clouds
125,Maragogi,BR,-9.0122,-35.2225,73.69,88,92,7.74,overcast clouds
126,Nuevo Laredo,MX,27.4763,-99.5164,93.18,58,1,21.85,clear sky
127,Provost,CA,52.3501,-110.2683,69.22,38,41,13.09,scattered clouds
128,Amga,RU,60.8953,131.9608,83.86,37,96,3.69,overcast clouds
129,Srednekolymsk,RU,67.45,153.6833,73.83,25,98,1.7,overcast clouds
130,Pacific Grove,US,36.6177,-121.9166,81.75,84,1,5.01,clear sky
131,Nikolskoye,RU,59.7035,30.7861,57.02,73,100,4.9,overcast clouds
132,Jackson,US,42.4165,-122.8345,97.86,24,25,1.01,scattered clouds
133,Guerrero Negro,MX,27.9769,-114.0611,78.37,69,33,14.23,scattered clouds
134,Jega,NG,12.2175,4.3792,75.85,88,99,4.85,light rain
135,Jumla,NP,29.2747,82.1838,69.42,79,58,3.78,broken clouds
136,San Bernardo,CL,-33.6,-70.7167,46.44,51,12,1.54,few clouds
137,Ixtapa,MX,20.7,-105.2,78.22,88,90,0.0,overcast clouds
138,Tyler,US,32.3513,-95.3011,85.87,77,1,5.75,clear sky
139,Nome,US,64.5011,-165.4064,50.07,58,90,6.91,overcast clouds
140,Coihaique,CL,-45.5752,-72.0662,35.55,80,1,5.75,clear sky
141,Tazovskiy,RU,67.4667,78.7,47.66,71,4,6.93,clear sky
142,Hami,CN,42.8,93.45,85.89,25,0,4.14,clear sky
143,Gizo,SB,-8.103,156.8419,77.23,89,100,13.29,moderate rain
144,El Alto,PE,-4.2714,-81.2147,61.79,86,94,16.31,overcast clouds
145,Khasan,RU,42.4308,130.6434,67.15,85,100,13.69,overcast clouds
146,Kavieng,PG,-2.5744,150.7967,83.89,70,47,4.81,light rain
147,Iquique,CL,-20.2208,-70.1431,59.04,74,5,3.85,clear sky
148,Iquitos,PE,-3.7481,-73.2472,73.44,94,75,1.14,broken clouds
149,Ancud,CL,-41.8697,-73.8203,42.33,85,0,2.93,clear sky
150,Lebu,CL,-37.6167,-73.65,47.7,82,0,6.02,clear sky
151,Dubuque,US,42.4833,-90.8668,80.51,70,1,11.5,clear sky
152,Saint George,US,37.1041,-113.5841,97.27,26,1,17.27,clear sky
153,Zanzibar,TZ,-6.1639,39.1979,70.88,81,3,6.78,clear sky
154,Nedjo,ET,9.5046,35.5019,57.47,98,91,1.63,overcast clouds
155,Atbasar,KZ,51.8,68.3333,54.81,90,98,11.56,overcast clouds
156,Pisco,PE,-13.7,-76.2167,60.85,77,90,6.91,overcast clouds
157,Hilo,US,19.7297,-155.09,82.13,77,90,8.05,overcast clouds
158,Aykhal,RU,66.0,111.5,64.09,47,100,14.54,overcast clouds
159,Natal,BR,-5.795,-35.2094,74.05,100,75,6.91,broken clouds
160,Te Anau,NZ,-45.4167,167.7167,53.6,86,100,11.65,moderate rain
161,Khatanga,RU,71.9667,102.5,46.17,79,100,15.86,overcast clouds
162,Lar,IN,26.2039,83.9717,81.1,90,100,5.26,very heavy rain
163,Lourdes,FR,43.1,-0.05,65.68,94,75,2.3,broken clouds
164,Paamiut,GL,61.994,-49.6678,43.72,86,95,10.6,overcast clouds
165,Luderitz,NA,-26.6481,15.1594,53.19,85,36,11.25,scattered clouds
166,Aasiaat,GL,68.7098,-52.8699,39.29,82,55,8.23,broken clouds
167,Alyangula,AU,-13.8483,136.4192,85.87,45,0,13.8,clear sky
168,Westport,US,41.1415,-73.3579,81.27,85,40,8.99,heavy intensity rain
169,Vostok,RU,46.4856,135.8833,71.67,40,15,5.17,few clouds
170,Alghero,IT,40.5589,8.3181,77.09,94,20,6.91,few clouds
171,Lyuban,BY,52.7985,28.0048,53.62,96,56,10.07,broken clouds
172,Klaksvik,FO,62.2266,-6.589,54.52,98,100,13.76,overcast clouds
173,Polyarnyy,RU,69.1989,33.4478,48.67,90,54,9.62,broken clouds
174,Broome,US,42.2506,-75.833,81.18,86,1,4.0,clear sky
175,Sinnamary,GF,5.3833,-52.95,77.2,87,100,4.74,overcast clouds
176,Koulikoro,ML,14.0,-7.75,71.19,88,100,9.53,overcast clouds
177,Kormilovka,RU,55.0026,74.1028,55.15,86,100,13.09,overcast clouds
178,Asau,RO,46.4333,26.4,64.76,72,89,1.99,light rain
179,Yulara,AU,-25.2406,130.9889,62.44,36,0,19.57,clear sky
180,Osoyoos,CA,49.0331,-119.4524,101.79,34,0,10.36,clear sky
181,Fort Nelson,CA,58.8053,-122.7002,69.39,37,40,8.05,scattered clouds
182,Ouesso,CG,1.6136,16.0517,71.2,91,96,2.13,overcast clouds
183,Camrose,CA,53.0168,-112.8353,68.4,43,21,13.38,few clouds
184,Phan Thiet,VN,10.9333,108.1,90.25,55,83,9.48,broken clouds
185,Lompoc,US,34.6391,-120.4579,78.21,80,1,10.36,clear sky
186,Zonguldak,TR,41.25,31.8333,61.65,89,58,3.51,broken clouds
187,Cayenne,GF,4.9333,-52.3333,77.09,89,0,1.14,clear sky
188,Tuatapere,NZ,-46.1333,167.6833,58.82,67,100,7.85,moderate rain
189,Port Lincoln,AU,-34.7333,135.8667,59.79,63,6,11.16,clear sky
190,Weyburn,CA,49.6668,-103.8511,70.18,37,2,19.57,clear sky
191,Constitucion,CL,-35.3333,-72.4167,48.29,70,0,1.83,clear sky
192,Mahebourg,MU,-20.4081,57.7,71.89,83,75,9.22,light rain
193,Asfi,MA,32.2994,-9.2372,67.91,93,0,7.92,clear sky
194,Yining,CN,29.0361,114.5636,84.07,86,90,3.44,overcast clouds
195,Meru,KE,0.0463,37.6559,59.25,86,95,2.3,overcast clouds
196,Kupang,ID,-10.1667,123.5833,88.38,51,20,16.11,few clouds
197,Betioky,MG,-23.7167,44.3833,58.42,81,2,3.71,clear sky
198,Meulaboh,ID,4.1363,96.1285,78.71,81,99,5.53,light rain
199,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,89,10,6.38,clear sky
200,Atambua,ID,-9.1061,124.8925,86.45,47,31,4.63,scattered clouds
201,Kiama,AU,-34.6833,150.8667,69.39,34,0,5.77,clear sky
202,Norman Wells,CA,65.282,-126.8329,60.84,72,75,3.44,shower rain
203,Mount Isa,AU,-20.7333,139.5,83.97,20,0,10.36,clear sky
204,Ponta Do Sol,PT,32.6667,-17.1,74.03,77,19,4.45,few clouds
205,Port-Gentil,GA,-0.7193,8.7815,76.37,80,100,13.2,overcast clouds
206,Hualmay,PE,-11.0964,-77.6139,62.06,82,33,8.97,scattered clouds
207,Youghal,IE,51.95,-7.8506,56.01,100,99,14.14,overcast clouds
208,Labuan,MY,5.2767,115.2417,88.16,66,20,3.44,few clouds
209,Talcahuano,CL,-36.7167,-73.1167,44.28,100,0,5.75,clear sky
210,Vardo,NO,70.3705,31.1107,51.96,95,65,2.77,broken clouds
211,Surt,LY,31.2089,16.5887,83.05,57,0,7.14,clear sky
212,Mar Del Plata,AR,-38.0023,-57.5575,46.42,66,75,9.22,broken clouds
213,Samarai,PG,-10.6167,150.6667,79.14,84,67,13.91,broken clouds
214,Champoton,MX,19.35,-90.7167,73.42,87,98,6.58,overcast clouds
215,Merauke,ID,-8.4667,140.3333,80.67,78,89,14.34,overcast clouds
216,Salalah,OM,17.0151,54.0924,77.09,83,90,5.75,overcast clouds
217,Rovaniemi,FI,66.5,25.7167,58.41,100,90,9.22,overcast clouds
218,Bairiki,KI,1.3292,172.9752,87.8,62,20,9.22,few clouds
219,Omboue,GA,-1.5746,9.2618,74.26,83,100,6.15,overcast clouds
220,Fairbanks,US,64.8378,-147.7164,68.0,57,1,0.0,clear sky
221,Yerbogachen,RU,61.2767,108.0108,73.6,44,5,5.79,clear sky
222,Kodiak,US,57.79,-152.4072,58.51,77,75,9.22,broken clouds
223,Lubumbashi,CD,-11.6609,27.4794,52.3,45,0,3.44,clear sky
224,Baculin,PH,7.4525,126.5842,86.61,64,22,6.76,few clouds
225,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.61,83,66,12.03,broken clouds
226,Hasaki,JP,35.7333,140.8333,82.69,76,100,8.21,light rain
227,Vila,PT,42.0304,-8.1588,58.69,86,0,2.13,clear sky
228,Mehamn,NO,71.0357,27.8492,53.24,97,99,16.31,light rain
229,Sijunjung,ID,-0.6876,100.9537,83.12,69,85,2.19,overcast clouds
230,Naze,JP,28.3667,129.4833,83.32,84,49,19.91,scattered clouds
231,Aswan,EG,24.0934,32.907,83.5,26,0,9.22,clear sky
